,,,,,,
Main Field,Subfield,Definition,Application Areas,,,
Machine Learning,Supervised Learning,The model learns from labeled data (input data paired with the correct output) to map inputs to outputs.,"Spam filtering, House price prediction, Medical diagnosis",,,
Machine Learning,Unsupervised Learning,"The model learns from unlabeled data, looking for hidden structures, patterns, or groupings on its own.","Customer segmentation, Anomaly detection (fraud), Recommendation systems",,,
Machine Learning,Reinforcement Learning (RL),An agent learns to make decisions by performing actions in an environment and receiving feedback via rewards/penalties.,"Game playing (AlphaGo), Robot navigation, Optimizing trading strategies",,,
Natural Language Processing,Natural Language Understanding (NLU),"The ability of a computer to comprehend the structure and meaning of sentences (semantics, syntax, sentiment).","Sentiment analysis, Spam detection, Email classification",,,
Natural Language Processing,Natural Language Generation (NLG),The process of transforming structured data into readable human language (text or speech).,"Automated report writing, Chatbots generating responses",,,
Natural Language Processing,Machine Translation,Automating the translation of text or speech from one language to another.,"Google Translate, Real-time conversation translation devices",,,
Computer Vision,Image Classification,Assigning a specific label or category to an entire image.,"Identifying plant diseases, Organizing photo libraries",,,
Computer Vision,Object Detection,Identifying and locating multiple objects within a single image.,"Self-driving cars (pedestrian detection), Security surveillance, Inventory management",,,
Computer Vision,Facial Recognition,Identifying or verifying a person’s identity using their face.,"Unlocking smartphones, Airport security, Social media tagging",,,
Robotics,Robot Perception,"Using sensors (cameras, LiDAR) to map and understand the environment.","Vacuum robots mapping rooms, Mars rovers navigating terrain",,,
Robotics,Motion Planning,Calculating the optimal path for a robot to move from A to B without hitting obstacles.,"Warehouse logistics robots, Autonomous drone flight paths",,,
Robotics,Human-Robot Interaction (HRI),Studying and designing how robots and humans communicate and collaborate.,"Collaborative robots (Cobots) in factories, Therapeutic robots",,,
Speech Processing,Automatic Speech Recognition (ASR),Converting spoken words into text.,"Virtual assistants (Siri, Alexa), Automated closed captioning, Medical dictation",,,
Speech Processing,Text-to-Speech (TTS),Converting written text into spoken audio.,"GPS navigation voices, Screen readers",,,
Expert Systems,Knowledge Base & Inference Engine,Solving complex problems by reasoning through a body of knowledge using logic rules.,"Industrial equipment maintenance, Medical diagnosis support, Loan approval systems",,,
Planning & Optimization,Planning & Scheduling,Algorithms that search through possible future states to find a sequence of actions that achieves a goal.,"Logistics route optimization, Airport gate assignment, Space mission scheduling",,,
Fuzzy Logic,Fuzzy Logic,"Logic that deals with approximate reasoning rather than fixed true/false, allowing for partial truth.","Appliance control systems (washing machines), Anti-lock braking systems (ABS)",,,
